run,type,module,name,attrname,attrvalue,value
General-0-20200715-16:24:08-872,runattr,,,configname,General,
General-0-20200715-16:24:08-872,runattr,,,datetime,20200715-16:24:08,
General-0-20200715-16:24:08-872,runattr,,,experiment,General,
General-0-20200715-16:24:08-872,runattr,,,inifile,omnetpp.ini,
General-0-20200715-16:24:08-872,runattr,,,iterationvars,,
General-0-20200715-16:24:08-872,runattr,,,iterationvarsf,,
General-0-20200715-16:24:08-872,runattr,,,measurement,,
General-0-20200715-16:24:08-872,runattr,,,network,Scenario,
General-0-20200715-16:24:08-872,runattr,,,processid,872,
General-0-20200715-16:24:08-872,runattr,,,repetition,0,
General-0-20200715-16:24:08-872,runattr,,,replication,#0,
General-0-20200715-16:24:08-872,runattr,,,resultdir,results,
General-0-20200715-16:24:08-872,runattr,,,runnumber,0,
General-0-20200715-16:24:08-872,runattr,,,seedset,0,
General-0-20200715-16:24:08-872,param,,,Scenario.*.mobilityType,"""VeinsInetMobility""",
General-0-20200715-16:24:08-872,param,,,Scenario.*.mobility.constraintAreaMinX,0m,
General-0-20200715-16:24:08-872,param,,,Scenario.*.mobility.constraintAreaMinY,0m,
General-0-20200715-16:24:08-872,param,,,Scenario.*.mobility.constraintAreaMinZ,0m,
General-0-20200715-16:24:08-872,param,,,Scenario.*.mobility.constraintAreaMaxX,5000m,
General-0-20200715-16:24:08-872,param,,,Scenario.*.mobility.constraintAreaMaxY,5000m,
General-0-20200715-16:24:08-872,param,,,Scenario.*.mobility.constraintAreaMaxZ,0m,
General-0-20200715-16:24:08-872,param,,,Scenario.node[*].ac_wlan.interfaces,"""wlan0""",
General-0-20200715-16:24:08-872,param,,,Scenario.*.wlan[*].mgmtType,"""Ieee80211MgmtAP""",
General-0-20200715-16:24:08-872,param,,,Scenario.*.wlan[*].radioType,"""Ieee80211ScalarRadio""",
General-0-20200715-16:24:08-872,param,,,Scenario.*.wlan[*].opMode,"""g(mixed)""",
General-0-20200715-16:24:08-872,param,,,Scenario.*.wlan[*].bitrate,6Mbps,
General-0-20200715-16:24:08-872,param,,,Scenario.*.wlan[*].mac.typename,"""CsmaCaMac""",
General-0-20200715-16:24:08-872,param,,,Scenario.*.wlan[*].radio.channelNumber,2,
General-0-20200715-16:24:08-872,param,,,Scenario.*.wlan[*].mgmt.ssid,"""SSID""",
General-0-20200715-16:24:08-872,param,,,Scenario.*.wlan[*].mgmt.beaconInterval,500ms,
General-0-20200715-16:24:08-872,param,,,Scenario.*.wlan[*].radio.carrierFrequency,2.412GHz,
General-0-20200715-16:24:08-872,param,,,Scenario.*.wlan[*].radio.bandwidth,20MHz,
General-0-20200715-16:24:08-872,param,,,Scenario.*.wlan[*].radio.transmitter.power,25mW,
General-0-20200715-16:24:08-872,param,,,Scenario.*.wlan[*].radio.transmitter.modulation,"""BPSK""",
General-0-20200715-16:24:08-872,param,,,Scenario.*.wlan[*].radio.receiver.sensitivity,-85dBm,
General-0-20200715-16:24:08-872,param,,,Scenario.radioMedium.physicalEnvironmentModule,"""physicalEnvironment""",
General-0-20200715-16:24:08-872,param,,,Scenario.radioMedium.propagationType,"""ConstantSpeedPropagation""",
General-0-20200715-16:24:08-872,param,,,Scenario.radioMedium.pathLossType,"""NakagamiFading""",
General-0-20200715-16:24:08-872,param,,,Scenario.radioMedium.analogModelType,"""ScalarAnalogModel""",
General-0-20200715-16:24:08-872,param,,,Scenario.manager.updateInterval,0.001s,
General-0-20200715-16:24:08-872,param,,,Scenario.manager.host,"""localhost""",
General-0-20200715-16:24:08-872,param,,,Scenario.manager.port,9999,
General-0-20200715-16:24:08-872,param,,,Scenario.manager.autoShutdown,true,
General-0-20200715-16:24:08-872,param,,,Scenario.manager.launchConfig,"xmldoc(""straight.launchd.xml"")",
General-0-20200715-16:24:08-872,param,,,*.manager.moduleType,"""vtype0=fyp.simulations.singleSide.Car pedestrian=fyp.simulations.singleSideWithPedestrians.pedestrian""",
General-0-20200715-16:24:08-872,param,,,*.manager.moduleName,"""vtype0=node pedestrian=ped""",
General-0-20200715-16:24:08-872,param,,,*.manager.moduleDisplayString,"""vtype0='i=veins/node/car;is=vs' pedestrian='i=veins/node/pedestrian;is=vs'""",
General-0-20200715-16:24:08-872,scalar,Scenario.node[0].wlan[0].mgmt,end to end delay,,,0.000115457106
General-0-20200715-16:24:08-872,scalar,Scenario.node[1].wlan[0].mgmt,end to end delay,,,0.000115384302
General-0-20200715-16:24:08-872,scalar,Scenario.node[2].wlan[0].mgmt,end to end delay,,,0.000115336229
General-0-20200715-16:24:08-872,scalar,Scenario.node[3].wlan[0].mgmt,end to end delay,,,0.000115272867
General-0-20200715-16:24:08-872,scalar,Scenario.node[4].wlan[0].mgmt,end to end delay,,,0.000115226235
General-0-20200715-16:24:08-872,scalar,Scenario.node[5].wlan[0].mgmt,end to end delay,,,0.000115187653
General-0-20200715-16:24:08-872,scalar,Scenario.node[6].wlan[0].mgmt,end to end delay,,,0.000115163967
General-0-20200715-16:24:08-872,scalar,Scenario.node[7].wlan[0].mgmt,end to end delay,,,0.000115140086
General-0-20200715-16:24:08-872,scalar,Scenario.node[8].wlan[0].mgmt,end to end delay,,,0.000115122699
General-0-20200715-16:24:08-872,scalar,Scenario.node[9].wlan[0].mgmt,end to end delay,,,0.000115091914
General-0-20200715-16:24:08-872,scalar,Scenario.node[10].wlan[0].mgmt,end to end delay,,,0.000115085684
General-0-20200715-16:24:08-872,scalar,Scenario.node[11].wlan[0].mgmt,end to end delay,,,0.000115063906
General-0-20200715-16:24:08-872,scalar,Scenario.node[12].wlan[0].mgmt,end to end delay,,,0.000115054541
General-0-20200715-16:24:08-872,scalar,Scenario.node[13].wlan[0].mgmt,end to end delay,,,0.000115042858
General-0-20200715-16:24:08-872,scalar,Scenario.node[14].wlan[0].mgmt,end to end delay,,,0.000115046273
General-0-20200715-16:24:08-872,scalar,Scenario.node[15].wlan[0].mgmt,end to end delay,,,0.000115040282
General-0-20200715-16:24:08-872,scalar,Scenario.node[16].wlan[0].mgmt,end to end delay,,,0.000115046019
General-0-20200715-16:24:08-872,scalar,Scenario.node[17].wlan[0].mgmt,end to end delay,,,0.000115044306
General-0-20200715-16:24:08-872,scalar,Scenario.node[18].wlan[0].mgmt,end to end delay,,,0.000115046987
General-0-20200715-16:24:08-872,scalar,Scenario.node[19].wlan[0].mgmt,end to end delay,,,0.000115044633
General-0-20200715-16:24:08-872,scalar,Scenario.node[20].wlan[0].mgmt,end to end delay,,,0.000115047201
General-0-20200715-16:24:08-872,scalar,Scenario.node[21].wlan[0].mgmt,end to end delay,,,0.000115054321
General-0-20200715-16:24:08-872,scalar,Scenario.node[22].wlan[0].mgmt,end to end delay,,,0.000115056601
General-0-20200715-16:24:08-872,scalar,Scenario.node[23].wlan[0].mgmt,end to end delay,,,0.000115062398
General-0-20200715-16:24:08-872,scalar,Scenario.node[24].wlan[0].mgmt,end to end delay,,,0.000115066401
General-0-20200715-16:24:08-872,scalar,Scenario.node[25].wlan[0].mgmt,end to end delay,,,0.000115071983
General-0-20200715-16:24:08-872,scalar,Scenario.node[26].wlan[0].mgmt,end to end delay,,,0.000115077139
General-0-20200715-16:24:08-872,scalar,Scenario.node[27].wlan[0].mgmt,end to end delay,,,0.000115089676
General-0-20200715-16:24:08-872,scalar,Scenario.node[28].wlan[0].mgmt,end to end delay,,,0.000115094184
General-0-20200715-16:24:08-872,scalar,Scenario.node[29].wlan[0].mgmt,end to end delay,,,0.000115097758
General-0-20200715-16:24:08-872,scalar,Scenario.node[30].wlan[0].mgmt,end to end delay,,,0.000115109173
General-0-20200715-16:24:08-872,scalar,Scenario.node[31].wlan[0].mgmt,end to end delay,,,0.000115116429
General-0-20200715-16:24:08-872,scalar,Scenario.node[32].wlan[0].mgmt,end to end delay,,,0.000115115575
