run,type,module,name,attrname,attrvalue,value
General-0-20200715-16:35:37-10116,runattr,,,configname,General,
General-0-20200715-16:35:37-10116,runattr,,,datetime,20200715-16:35:37,
General-0-20200715-16:35:37-10116,runattr,,,experiment,General,
General-0-20200715-16:35:37-10116,runattr,,,inifile,omnetpp.ini,
General-0-20200715-16:35:37-10116,runattr,,,iterationvars,,
General-0-20200715-16:35:37-10116,runattr,,,iterationvarsf,,
General-0-20200715-16:35:37-10116,runattr,,,measurement,,
General-0-20200715-16:35:37-10116,runattr,,,network,Scenario,
General-0-20200715-16:35:37-10116,runattr,,,processid,10116,
General-0-20200715-16:35:37-10116,runattr,,,repetition,0,
General-0-20200715-16:35:37-10116,runattr,,,replication,#0,
General-0-20200715-16:35:37-10116,runattr,,,resultdir,results,
General-0-20200715-16:35:37-10116,runattr,,,runnumber,0,
General-0-20200715-16:35:37-10116,runattr,,,seedset,0,
General-0-20200715-16:35:37-10116,param,,,Scenario.*.mobilityType,"""VeinsInetMobility""",
General-0-20200715-16:35:37-10116,param,,,Scenario.*.mobility.constraintAreaMinX,0m,
General-0-20200715-16:35:37-10116,param,,,Scenario.*.mobility.constraintAreaMinY,0m,
General-0-20200715-16:35:37-10116,param,,,Scenario.*.mobility.constraintAreaMinZ,0m,
General-0-20200715-16:35:37-10116,param,,,Scenario.*.mobility.constraintAreaMaxX,5000m,
General-0-20200715-16:35:37-10116,param,,,Scenario.*.mobility.constraintAreaMaxY,5000m,
General-0-20200715-16:35:37-10116,param,,,Scenario.*.mobility.constraintAreaMaxZ,0m,
General-0-20200715-16:35:37-10116,param,,,Scenario.node[*].ac_wlan.interfaces,"""wlan0""",
General-0-20200715-16:35:37-10116,param,,,Scenario.*.wlan[*].mgmtType,"""Ieee80211MgmtAP""",
General-0-20200715-16:35:37-10116,param,,,Scenario.*.wlan[*].radioType,"""Ieee80211ScalarRadio""",
General-0-20200715-16:35:37-10116,param,,,Scenario.*.wlan[*].opMode,"""g(mixed)""",
General-0-20200715-16:35:37-10116,param,,,Scenario.*.wlan[*].bitrate,6Mbps,
General-0-20200715-16:35:37-10116,param,,,Scenario.*.wlan[*].mac.typename,"""CsmaCaMac""",
